Employee ID;Employee Name;Date;Hours;Job Code
1021;Miguel Alvarez;2026-09-07;8,0;ELEC-IW
1021;Miguel Alvarez;2026-09-08;8,0;ELEC-IW
1021;Miguel Alvarez;2026-09-09;8,0;ELEC-IW
1021;Miguel Alvarez;2026-09-10;8,0;ELEC-IW
1021;Miguel Alvarez;2026-09-11;7,5;ELEC-IW
1027;David Chen;2026-09-07;8,0;ELEC-IW
1027;David Chen;2026-09-08;8,0;ELEC-IW
1027;David Chen;2026-09-09;9,25;ELEC-IW
1027;David Chen;2026-09-10;8,0;ELEC-IW
1027;David Chen;2026-09-11;7,5;ELEC-IW
1018;Anna Rossi;2026-09-07;8,0;ELEC-IW
1018;Anna Rossi;2026-09-08;8,0;ELEC-IW
1018;Anna Rossi;2026-09-09;8,0;ELEC-IW
1018;Anna Rossi;2026-09-10;8,0;ELEC-IW
1018;Anna Rossi;2026-09-11;7,5;ELEC-IW
1050;José Peña;2026-09-07;8,0;ELEC-IW
1050;José Peña;2026-09-08;8,0;ELEC-IW
1050;José Peña;2026-09-09;8,0;ELEC-IW
1050;José Peña;2026-09-10;8,0;ELEC-IW
1050;José Peña;2026-09-11;7,5;ELEC-IW
