Employee ID,Employee Name,Date,Hours,Job Code
1021,"Alvarez, Miguel",09/07/2026,8.0,ELEC-IW
1021,"Alvarez, Miguel",09/08/2026,8.0,ELEC-IW
1021,"Alvarez, Miguel",09/09/2026,8.0,ELEC-IW
1021,"Alvarez, Miguel",09/10/2026,8.0,ELEC-IW
1021,"Alvarez, Miguel",09/11/2026,7.5,ELEC-IW
1027,"Chen, David",09/07/2026,8.0,ELEC-IW
1027,"Chen, David",09/08/2026,8.0,ELEC-IW
1027,"Chen, David",09/09/2026,9.25,ELEC-IW
1027,"Chen, David",09/10/2026,8.0,ELEC-IW
1027,"Chen, David",09/11/2026,7.5,ELEC-IW
1018,"Rossi, Anna",09/07/2026,8.0,ELEC-IW
1018,"Rossi, Anna",09/08/2026,8.0,ELEC-IW
1018,"Rossi, Anna",09/09/2026,8.0,ELEC-IW
1018,"Rossi, Anna",09/10/2026,8.0,ELEC-IW
1018,"Rossi, Anna",09/11/2026,7.5,ELEC-IW
1050,"Peña, José",09/07/2026,8.0,ELEC-IW
1050,"Peña, José",09/08/2026,8.0,ELEC-IW
1050,"Peña, José",09/09/2026,8.0,ELEC-IW
1050,"Peña, José",09/10/2026,8.0,ELEC-IW
1050,"Peña, José",09/11/2026,7.5,ELEC-IW
