Employee,Date,Job,Task,Hours
"Alvarez, Miguel",09/07/2026,ELEC-IW,Rough-in,8.0
"Alvarez, Miguel",09/08/2026,ELEC-IW,Rough-in,8.0
"Alvarez, Miguel",09/09/2026,ELEC-IW,Rough-in,8.0
"Alvarez, Miguel",09/10/2026,ELEC-IW,Rough-in,8.0
"Alvarez, Miguel",09/11/2026,ELEC-IW,Rough-in,7.5
"Chen, David",09/07/2026,ELEC-IW,Rough-in,8.0
"Chen, David",09/08/2026,ELEC-IW,Rough-in,8.0
"Chen, David",09/09/2026,ELEC-IW,Rough-in,9.25
"Chen, David",09/10/2026,ELEC-IW,Rough-in,8.0
"Chen, David",09/11/2026,ELEC-IW,Rough-in,7.5
"Rossi, Anna",09/07/2026,ELEC-IW,Rough-in,8.0
"Rossi, Anna",09/08/2026,ELEC-IW,Rough-in,8.0
"Rossi, Anna",09/09/2026,ELEC-IW,Rough-in,8.0
"Rossi, Anna",09/10/2026,ELEC-IW,Rough-in,8.0
"Rossi, Anna",09/11/2026,ELEC-IW,Rough-in,7.5
"Peña, José",09/07/2026,ELEC-IW,Rough-in,8.0
"Peña, José",09/08/2026,ELEC-IW,Rough-in,8.0
"Peña, José",09/09/2026,ELEC-IW,Rough-in,8.0
"Peña, José",09/10/2026,ELEC-IW,Rough-in,8.0
"Peña, José",09/11/2026,ELEC-IW,Rough-in,7.5
