Name,Date,Hours,Classification
"Alvarez, Miguel",09/07/2026,8.0,Electrician – Inside Wireman
"Alvarez, Miguel",09/08/2026,8.0,Electrician – Inside Wireman
"Alvarez, Miguel",09/09/2026,8.0,Electrician – Inside Wireman
"Alvarez, Miguel",09/10/2026,8.0,Electrician – Inside Wireman
"Alvarez, Miguel",09/11/2026,7.5,Electrician – Inside Wireman
"Chen, David",09/07/2026,8.0,Electrician – Inside Wireman
"Chen, David",09/08/2026,8.0,Electrician – Inside Wireman
"Chen, David",09/09/2026,9.25,Electrician – Inside Wireman
"Chen, David",09/10/2026,8.0,Electrician – Inside Wireman
"Chen, David",09/11/2026,7.5,Electrician – Inside Wireman
"Rossi, Anna",09/07/2026,8.0,Electrician – Inside Wireman
"Rossi, Anna",09/08/2026,8.0,Electrician – Inside Wireman
"Rossi, Anna",09/09/2026,8.0,Electrician – Inside Wireman
"Rossi, Anna",09/10/2026,8.0,Electrician – Inside Wireman
"Rossi, Anna",09/11/2026,7.5,Electrician – Inside Wireman
"Peña, José",09/07/2026,8.0,Electrician – Inside Wireman
"Peña, José",09/08/2026,8.0,Electrician – Inside Wireman
"Peña, José",09/09/2026,8.0,Electrician – Inside Wireman
"Peña, José",09/10/2026,8.0,Electrician – Inside Wireman
"Peña, José",09/11/2026,7.5,Electrician – Inside Wireman
